scope,query_id,split,system,P@10,R@20,F1,NDCG@20,hallucinated_or_out_of_pool,total_tokens,latency_s
resolvable,RealScholarQuery_7,train,single_llm,0.2,0.06451612903225806,0.0975609756097561,0.09165446236150611,0,1836,12.869986400008202
resolvable,RealScholarQuery_7,train,scholarloop_a_v2_no_rerank,0.1,0.12903225806451613,0.11267605633802817,0.1515813730678899,0,0,0.0
resolvable,RealScholarQuery_7,train,scholarloop_a_v2,0.1,0.0967741935483871,0.09836065573770492,0.11375614489479956,0,0,18.98025150000467
resolvable,RealScholarQuery_8,train,keyword,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_8,train,bm25,0.1,0.06666666666666667,0.08,0.0493171240499355,0,0,0.0
resolvable,RealScholarQuery_8,train,neural_embedding_v2,0.2,0.13333333333333333,0.16,0.23138144801632507,0,0,0.0
resolvable,RealScholarQuery_8,train,single_llm,0.1,0.06666666666666667,0.08,0.17060921827860473,0,1217,5.403634600006626
resolvable,RealScholarQuery_8,train,scholarloop_a_v2_no_rerank,0.1,0.06666666666666667,0.08,0.1076424320455391,0,0,0.0
resolvable,RealScholarQuery_8,train,scholarloop_a_v2,0.2,0.26666666666666666,0.2285714285714286,0.3167898842834908,0,0,9.082067499999539
resolvable,RealScholarQuery_9,test,keyword,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_9,test,bm25,0.1,0.02564102564102564,0.04081632653061225,0.07102001981682865,0,0,0.0
resolvable,RealScholarQuery_9,test,neural_embedding_v2,0.1,0.02564102564102564,0.04081632653061225,0.07102001981682865,0,0,0.0
resolvable,RealScholarQuery_9,test,single_llm,0.2,0.05128205128205128,0.0816326530612245,0.2032133550116892,0,1071,4.537900299998
resolvable,RealScholarQuery_9,test,scholarloop_a_v2_no_rerank,0.7,0.23076923076923078,0.34710743801652894,0.5753923734522041,0,0,0.0
resolvable,RealScholarQuery_9,test,scholarloop_a_v2,0.7,0.23076923076923078,0.34710743801652894,0.5898001713968791,0,0,9.97398599999724
resolvable,RealScholarQuery_10,train,keyword,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_10,train,bm25,0.2,0.21428571428571427,0.20689655172413796,0.17889148174915745,0,0,0.0
resolvable,RealScholarQuery_10,train,neural_embedding_v2,0.3,0.35714285714285715,0.32608695652173914,0.4152930052023378,0,0,0.0
